,predicted_mean
2023-12-02,503.205441244961
2023-12-03,509.665751467757
2023-12-04,503.90754422418
2023-12-05,508.33386988493
2023-12-06,505.015554499998
2023-12-07,507.49157878498
2023-12-08,505.645696435093
2023-12-09,507.021571306752
2023-12-10,505.99606185317
2023-12-11,506.76042137897
2023-12-12,506.190709628544
2023-12-13,506.61534148482
2023-12-14,506.298844229259
2023-12-15,506.534743892599
2023-12-16,506.358917246089
2023-12-17,506.489968766789
2023-12-18,506.392290164497
2023-12-19,506.465094427238
2023-12-20,506.410830130362
2023-12-21,506.451275755447
2023-12-22,506.421129808983
2023-12-23,506.443598940967
2023-12-24,506.426851684658
2023-12-25,506.439334169255
2023-12-26,506.430030411145
2023-12-27,506.436964921201
2023-12-28,506.431796318454
2023-12-29,506.435648710929
2023-12-30,506.432777349266
2023-12-31,506.434917504469
